gene-id	annotated gene
TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase
TIGR00337	CTP synthase
TIGR01011	30S ribosomal protein S2
TIGR00116	Elongation factor Ts
TIGR00344	Alanine--tRNA ligase
TIGR01128	putative protein YqeN
TIGR00392	Isoleucine--tRNA ligase
TIGR00416	DNA repair protein RadA
TIGR02432	tRNA(Ile)-lysidine synthase
TIGR00158	50S ribosomal protein L9
TIGR00635	Holliday junction ATP-dependent DNA helicase RuvB
TIGR00084	Holliday junction ATP-dependent DNA helicase RuvA
TIGR00717	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR01029	30S ribosomal protein S7
TIGR02386	DNA-directed RNA polymerase subunit beta'
TIGR02013	DNA-directed RNA polymerase subunit beta
TIGR01039	ATP synthase subunit beta
TIGR01146	ATP synthase gamma chain%2C sodium ion specific
TIGR03723	tRNA N6-adenosine threonylcarbamoyltransferase
TIGR00593	DNA polymerase I
TIGR00755	Ribosomal RNA small subunit methyltransferase A
TIGR00631	UvrABC system protein B
TIGR00634	DNA repair protein RecN
TIGR01951	Transcription antitermination protein NusB
TIGR03594	GTPase Der
TIGR00382	ATP-dependent Clp protease ATP-binding subunit ClpX
TIGR00115	Trigger factor
TIGR01082	UDP-N-acetylmuramate--L-alanine ligase
TIGR01391	DNA primase
TIGR01302	Inosine-5'-monophosphate dehydrogenase
TIGR01032	50S ribosomal protein L20
TIGR00168	Translation initiation factor IF-3
TIGR00065	Cell division protein FtsZ
TIGR00445	Phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR00006	Ribosomal RNA small subunit methyltransferase H
TIGR01510	Phosphopantetheine adenylyltransferase
TIGR00095	Ribosomal RNA small subunit methyltransferase D
TIGR00194	UvrABC system protein C
TIGR00436	GTPase Era
TIGR00043	Endoribonuclease YbeY
TIGR03725	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
TIGR00086	SsrA-binding protein
TIGR00468	Phenylalanine--tRNA ligase alpha subunit
TIGR00472	Phenylalanine--tRNA ligase beta subunit
TIGR00083	Bifunctional riboflavin kinase/FMN adenylyltransferase
TIGR00431	tRNA pseudouridine synthase B
TIGR00082	Ribosome-binding factor A
TIGR00487	Translation initiation factor IF-2
TIGR01953	Transcription termination/antitermination protein NusA
PF02576.18	Ribosome maturation factor RimP
TIGR00059	50S ribosomal protein L17
TIGR02027	DNA-directed RNA polymerase subunit alpha
TIGR01017	30S ribosomal protein S4
TIGR03632	30S ribosomal protein S11
TIGR00967	Protein translocase subunit SecY
TIGR01071	50S ribosomal protein L15
TIGR01021	30S ribosomal protein S5
TIGR03654	50S ribosomal protein L6
PF00410.20	30S ribosomal protein S8
TIGR01079	50S ribosomal protein L24
TIGR01164	50S ribosomal protein L16
TIGR01009	30S ribosomal protein S3
TIGR01044	50S ribosomal protein L22
TIGR01171	50S ribosomal protein L2
TIGR03953	50S ribosomal protein L4
TIGR03625	50S ribosomal protein L3
TIGR00456	Arginine--tRNA ligase
TIGR00810	putative protein-export membrane protein SecG
TIGR00615	Recombination protein RecR
TIGR02397	Holliday junction ATP-dependent DNA helicase RuvB
TIGR02729	GTPase Obg
TIGR00061	50S ribosomal protein L21
TIGR00088	tRNA (guanine-N(1)-)-methyltransferase
TIGR02273	Ribosome maturation factor RimM
TIGR00959	Signal recognition particle protein
TIGR00643	ATP-dependent DNA helicase RecG
TIGR00420	tRNA-specific 2-thiouridylase MnmA
TIGR00020	Peptide chain release factor 2
TIGR00963	Protein translocase subunit SecA
TIGR00250	Putative pre-16S rRNA nuclease
TIGR00964	Protein translocase subunit SecE
TIGR00922	Transcription termination/antitermination protein NusG
TIGR01632	50S ribosomal protein L11
TIGR01169	50S ribosomal protein L1
PF00466.21	50S ribosomal protein L10
TIGR02012	Protein RecA
TIGR00414	Serine--tRNA ligase
TIGR00138	Ribosomal RNA small subunit methyltransferase G
TIGR00362	Chromosomal replication initiator protein DnaA
TIGR00663	Beta sliding clamp
TIGR01059	DNA gyrase subunit B
TIGR01063	DNA gyrase subunit A
TIGR00166	30S ribosomal protein S6
TIGR00019	Peptide chain release factor 1
TIGR00580	Transcription-repair-coupling factor
TIGR00435	Cysteine--tRNA ligase
PF03726.15	Polyribonucleotide nucleotidyltransferase
TIGR03263	Guanylate kinase
TIGR00460	Methionyl-tRNA formyltransferase
TIGR00928	Adenylosuccinate lyase
TIGR01394	GTP-binding protein TypA/BipA
TIGR01066	50S ribosomal protein L13
PF00380.20	30S ribosomal protein S9
TIGR00092	Ribosome-binding ATPase YchF
TIGR00398	Methionine--tRNA ligase
TIGR00442	Histidine--tRNA ligase
TIGR00459	Aspartate--tRNA ligase
TIGR00186	Putative TrmH family tRNA/rRNA methyltransferase
TIGR02191	Ribonuclease 3
TIGR00064	Signal recognition particle receptor FtsY
TIGR00090	Ribosomal silencing factor RsfS
TIGR00396	Leucine--tRNA ligase
TIGR02075	Uridylate kinase
TIGR00496	Ribosome-recycling factor
TIGR00054	Regulator of sigma-W protease RasP
TIGR02350	Chaperone protein DnaK
PF01025.20	Protein GrpE
TIGR01393	Elongation factor 4
TIGR00539	Heme chaperone HemW
TIGR00029	30S ribosomal protein S20
